room_id,ship_id,room_name,size,max_persons,room_price,room_features
3,44,Phòng Executive Suite ,45,2,4500000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Sạc điện thoại, Két an toàn"
4,44,Phòng Honeymoon Suite,45,2,5000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Sạc điện thoại, Két an toàn"
1,45,Phòng Junior Suite ,28,2,2750000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,45,Phòng Ocean Suite,35,2,3250000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,45,Phòng Earth Suite,50,2,4250000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
4,45,Phòng Heaven Suite,55,2,5250000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
1,46,Phòng Deluxe có ban công riêng,30,2,5650000,"Wi-Fi, Nhìn ra biển, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
2,46,Phòng Exectutive,36,2,7050000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
3,46,Phòng Premium Executive ,30,2,7650000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
4,46,Phòng Captain Suite,70,2,8050000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
5,46,Phòng President ,198,2,13650000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
1,47,Phòng Ocean Suite,40,2,5150000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Sạc điện thoại, Két an toàn"
2,47,Phòng Ocean Suite Trip ,43,3,5150000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Sạc điện thoại, Két an toàn"
3,47,Phòng Veranda Suite,40,2,6030000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Sạc điện thoại, Két an toàn"
4,47,Phòng Executive Suite,40,2,6570000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Sạc điện thoại, Két an toàn"
5,47,Phòng The Essence Suite,60,2,8880000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng, Sạc điện thoại, Két an toàn"
